,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,public_information_campaigns,facial_coverings,vaccination_policy,date,location_key,stringency_index
121122,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2020-12-29,GB,79.63
121123,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2020-12-30,GB,79.63
121124,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2020-12-31,GB,79.63
121125,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-01,GB,79.63
121126,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-02,GB,79.63
121127,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-03,GB,79.63
121128,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-04,GB,79.63
121129,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-05,GB,87.96
121130,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-06,GB,87.96
121131,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-07,GB,87.96
121132,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-08,GB,87.96
121133,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-09,GB,87.96
121134,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-10,GB,87.96
121135,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-11,GB,87.96
121136,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-12,GB,87.96
121137,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-13,GB,87.96
121138,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-14,GB,87.96
121139,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-15,GB,87.96
121140,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-16,GB,87.96
121141,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-17,GB,87.96
121142,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-18,GB,87.96
121143,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-19,GB,87.96
121144,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-20,GB,87.96
121145,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2021-01-21,GB,87.96
