,search_trends_fever,search_trends_low_grade_fever,search_trends_chills,search_trends_cough,search_trends_shallow_breathing,search_trends_shortness_of_breath,search_trends_fatigue,search_trends_muscle_weakness,search_trends_cluster_headache,search_trends_headache,search_trends_sore_throat,search_trends_nasal_congestion,search_trends_nausea,search_trends_vomiting,search_trends_diarrhea,date,location_key
8996,5.42,0.11,0.26,4.09,0.09,1.02,5.22,0.15,0.25,4.96,1.62,1.42,1.82,2.61,3.48,2020-05-02,GB
8997,5.1,0.1,0.3,4.12,0.14,1.15,5.61,0.17,0.32,5.36,1.65,1.12,1.97,2.79,3.7,2020-05-03,GB
8998,5.41,0.1,0.28,4.37,0.1,1.25,5.77,0.13,0.29,4.74,1.71,1.26,1.8,2.49,3.9,2020-05-04,GB
8999,4.97,0.08,0.27,4.09,0.08,1.1,5.47,0.21,0.23,4.51,1.59,1.23,1.8,2.4,3.59,2020-05-05,GB
9000,4.62,0.08,0.26,3.82,0.09,0.99,5.16,0.16,0.25,4.16,1.52,1.07,1.72,2.41,3.61,2020-05-06,GB
9001,4.38,0.07,0.18,3.64,0.06,0.92,4.75,0.2,0.34,4.36,1.37,0.99,1.65,2.37,3.37,2020-05-07,GB
9002,4.11,0.07,0.23,3.26,0.06,0.86,4.68,0.21,0.24,4.31,1.31,1.13,1.53,2.37,3.35,2020-05-08,GB
9003,4.39,0.07,0.2,3.27,0.08,0.94,5.08,0.12,0.23,4.54,1.37,1.14,1.75,2.63,3.59,2020-05-09,GB
9004,4.64,0.07,0.21,3.81,0.08,1.04,5.19,0.15,0.22,4.18,1.53,1.08,1.8,2.48,3.54,2020-05-10,GB
9005,4.78,0.1,0.31,3.84,0.09,1.09,5.4,0.18,0.21,4.27,1.56,1.01,1.81,2.52,3.52,2020-05-11,GB
9006,5.22,0.1,0.35,4.1,0.09,1.05,6.15,0.18,0.24,4.36,1.55,1.16,1.86,2.49,3.62,2020-05-12,GB
9007,6.52,0.07,0.27,4.21,0.1,1.08,5.59,0.26,0.25,4.46,1.56,1.07,1.79,2.52,3.65,2020-05-13,GB
9008,7.33,0.11,0.36,4.11,0.08,1.1,5.39,0.22,0.28,4.38,1.61,1.1,1.85,2.45,3.58,2020-05-14,GB
9009,5.81,0.1,0.24,3.58,0.1,1.06,5.34,0.17,0.22,4.37,1.5,1.16,1.93,2.55,3.46,2020-05-15,GB
9010,6.71,0.11,0.24,3.96,0.07,0.99,5.87,0.21,0.27,4.76,1.58,1.33,1.94,2.48,3.62,2020-05-16,GB
9011,10.8,0.09,0.28,4.01,0.08,1.09,6.12,0.14,0.28,4.97,1.54,1.13,2.02,2.6,3.85,2020-05-17,GB
9012,14.43,0.11,0.25,4.01,0.09,1.2,6.05,0.2,0.25,4.74,1.49,1.18,2.05,2.58,3.64,2020-05-18,GB
9013,7.69,0.13,0.21,3.44,0.1,0.99,6.05,0.19,0.27,4.53,1.49,1.03,1.69,2.48,3.6,2020-05-19,GB
9014,5.56,0.07,0.15,3.26,0.05,0.82,5.19,0.17,0.25,4.6,1.23,0.85,1.69,2.27,3.48,2020-05-20,GB
9015,5.22,0.08,0.17,3.25,0.07,0.93,5.41,0.19,0.3,4.29,1.27,0.9,1.68,2.4,3.69,2020-05-21,GB
9016,4.97,0.1,0.24,3.44,0.06,1.01,5.44,0.18,0.26,4.09,1.41,1.0,1.78,2.4,3.71,2020-05-22,GB
9017,4.76,0.09,0.49,3.39,0.06,0.89,5.14,0.17,0.23,4.13,1.43,1.06,1.99,2.47,3.71,2020-05-23,GB
9018,4.24,0.06,0.3,3.43,0.07,1.05,5.55,0.18,0.27,4.56,1.39,1.1,1.97,2.63,3.65,2020-05-24,GB
9019,4.16,0.05,0.17,2.87,0.05,0.84,5.18,0.16,0.28,4.74,1.41,1.03,1.8,2.53,3.87,2020-05-25,GB
9020,4.56,0.09,0.2,3.4,0.06,0.97,5.91,0.23,0.24,4.44,1.4,1.15,1.97,2.63,3.85,2020-05-26,GB
9021,4.07,0.08,0.18,3.13,0.07,0.93,5.29,0.21,0.27,4.24,1.43,1.07,1.7,2.28,3.78,2020-05-27,GB
9022,4.0,0.08,0.2,3.03,0.05,0.92,4.96,0.18,0.24,4.01,1.23,1.02,1.73,2.39,3.5,2020-05-28,GB
9023,3.86,0.08,0.17,3.11,0.04,0.91,4.8,0.16,0.27,4.01,1.41,1.44,1.7,2.22,3.54,2020-05-29,GB
9024,3.8,0.09,0.22,3.2,0.06,0.9,4.88,0.2,0.21,3.91,1.37,1.55,1.62,2.28,3.86,2020-05-30,GB
9025,3.96,0.08,0.2,3.15,0.04,0.96,5.15,0.18,0.19,3.85,1.28,1.52,1.75,2.29,4.02,2020-05-31,GB
9026,4.34,0.08,0.19,3.17,0.08,0.93,4.98,0.14,0.24,3.94,1.32,1.32,1.71,2.36,3.97,2020-06-01,GB
9027,4.33,0.05,0.2,3.34,0.06,0.93,5.26,0.19,0.23,4.11,1.39,1.34,1.66,2.35,3.87,2020-06-02,GB
9028,4.23,0.09,0.24,3.45,0.07,1.04,5.58,0.21,0.23,3.98,1.34,1.23,1.82,2.43,3.96,2020-06-03,GB
